世界で２番目に面積が大きい国は？,1,カナダ,ロシア,中華人民共和国,アメリカ合衆国
世界で２番目に面積が小さい国は？,2,バチカン,モナコ,ナウル,ツバル
世界で２番目に長い川は？,2,バチカン,モナコ,ナウル,ツバル
世界で２番目に面積が広い湖は？,2,黄河,アマゾン川,ナイル川,長江
世界で２番目に面積が小さい国は？,4,ビクトリア湖,カスピ海,アラル海,スペリオル湖
世界で２番目に高い山は？,4,カンチェンジュンガ,エベレスト,ローツェ,ゴドウィンオースチン
世界で２番目に人口が多い国は？,1,インド,インドネシア,中華人民共和国,アメリカ合衆国
世界で２番目に人口が少ない国は？,1,ニウエ,バチカン,ナウル,ツバル
世界で２番目に人口密度が高い国は？,2,モナコ,シンガポール,バーレーン,モルディブ
世界で２番目に平均寿命が長い国は？,3,日本,大韓民国,スイス,シンガポール
世界で２番目に国民総所得（GNI）が高い国は？,2,アメリカ合衆国,中華人民共和国,日本,ドイツ
世界で２番目に米の生産量が多い国は？,2,中華人民共和国,インド,インドネシア,日本
世界で２番目に羊の頭数が多い国は？,4,中華人民共和国,ナイジェリア,オーストラリア,インド
世界で２番目に金の生産量が多い国は？,3,中華人民共和国,ロシア,オーストラリア,アメリカ合衆国
世界で２番目に世界遺産が多い国は？,1,中華人民共和国,イタリア,ドイツ,スペイン
世界で２番目にSDGsの達成度の高い国は？,4,フィンランド,デンマーク,ドイツ,スウェーデン
世界で２番目に日本語学習者の多い国は？,4,中華人民共和国,大韓民国,オーストラリア,インドネシア
世界で２番目に鉄道の長い国は？,2,アメリカ合衆国,ロシア,中華人民共和国,インド
世界で２番目にビックマックの価格が高い国は？,3,スイス,アメリカ,ノルウェー,スウェーデン
世界で２番目に幸福度が高い国は？,1,デンマーク,フィンランド,スイス,アイスランド
